"Date","Price","Open","High","Low","Change %"
"Aug 30, 2019","1.0991","1.1058","1.1062","1.0963","-0.60%"
"Aug 29, 2019","1.1057","1.1078","1.1093","1.1042","-0.19%"
"Aug 28, 2019","1.1078","1.1090","1.1099","1.1072","-0.12%"
"Aug 27, 2019","1.1091","1.1101","1.1116","1.1084","-0.10%"
"Aug 26, 2019","1.1102","1.1147","1.1166","1.1094","-0.38%"
"Aug 23, 2019","1.1144","1.1079","1.1154","1.1051","0.59%"
"Aug 22, 2019","1.1079","1.1084","1.1114","1.1063","-0.05%"
"Aug 21, 2019","1.1085","1.1100","1.1109","1.1081","-0.14%"
"Aug 20, 2019","1.1100","1.1079","1.1107","1.1065","0.20%"
"Aug 19, 2019","1.1078","1.1092","1.1115","1.1076","-0.11%"
"Aug 16, 2019","1.1090","1.1106","1.1113","1.1066","-0.15%"
"Aug 15, 2019","1.1107","1.1138","1.1159","1.1090","-0.29%"
"Aug 14, 2019","1.1139","1.1170","1.1191","1.1130","-0.29%"
"Aug 13, 2019","1.1171","1.1214","1.1229","1.1171","-0.38%"
"Aug 12, 2019","1.1214","1.1204","1.1232","1.1162","0.12%"
"Aug 09, 2019","1.1200","1.1181","1.1224","1.1180","0.18%"
"Aug 08, 2019","1.1180","1.1199","1.1233","1.1177","-0.17%"
"Aug 07, 2019","1.1199","1.1199","1.1243","1.1180","-0.01%"
"Aug 06, 2019","1.1200","1.1203","1.1251","1.1168","-0.02%"
"Aug 05, 2019","1.1202","1.1101","1.1213","1.1101","0.84%"
"Aug 02, 2019","1.1109","1.1087","1.1118","1.1070","0.22%"
"Aug 01, 2019","1.1085","1.1076","1.1097","1.1027","0.08%"
"Jul 31, 2019","1.1076","1.1155","1.1163","1.1059","-0.71%"
"Jul 30, 2019","1.1155","1.1144","1.1162","1.1132","0.10%"
"Jul 29, 2019","1.1144","1.1126","1.1151","1.1112","0.15%"
"Jul 26, 2019","1.1127","1.1147","1.1152","1.1112","-0.18%"
"Jul 25, 2019","1.1147","1.1142","1.1189","1.1102","0.05%"
"Jul 24, 2019","1.1141","1.1152","1.1160","1.1127","-0.11%"
"Jul 23, 2019","1.1153","1.1210","1.1211","1.1146","-0.51%"
"Jul 22, 2019","1.1210","1.1218","1.1227","1.1206","-0.11%"
"Jul 19, 2019","1.1222","1.1277","1.1283","1.1204","-0.49%"
"Jul 18, 2019","1.1277","1.1224","1.1282","1.1205","0.47%"
"Jul 17, 2019","1.1224","1.1210","1.1234","1.1199","0.12%"
"Jul 16, 2019","1.1211","1.1258","1.1265","1.1202","-0.42%"
"Jul 15, 2019","1.1258","1.1268","1.1285","1.1252","-0.12%"
"Jul 12, 2019","1.1271","1.1254","1.1277","1.1238","0.15%"
"Jul 11, 2019","1.1254","1.1251","1.1287","1.1245","0.03%"
"Jul 10, 2019","1.1251","1.1208","1.1265","1.1202","0.38%"
"Jul 09, 2019","1.1208","1.1215","1.1221","1.1194","-0.06%"
"Jul 08, 2019","1.1215","1.1221","1.1235","1.1205","-0.10%"
"Jul 05, 2019","1.1226","1.1285","1.1289","1.1207","-0.52%"
"Jul 04, 2019","1.1285","1.1277","1.1296","1.1272","0.06%"
"Jul 03, 2019","1.1278","1.1284","1.1311","1.1268","-0.06%"
"Jul 02, 2019","1.1285","1.1286","1.1321","1.1275","0.00%"
"Jul 01, 2019","1.1285","1.1375","1.1375","1.1280","-0.75%"
"Jun 28, 2019","1.1370","1.1371","1.1395","1.1351","0.00%"
"Jun 27, 2019","1.1370","1.1369","1.1383","1.1348","0.01%"
"Jun 26, 2019","1.1369","1.1365","1.1392","1.1347","0.02%"
"Jun 25, 2019","1.1367","1.1400","1.1414","1.1344","-0.27%"
"Jun 24, 2019","1.1398","1.1361","1.1405","1.1361","0.26%"
"Jun 21, 2019","1.1368","1.1292","1.1379","1.1283","0.67%"
"Jun 20, 2019","1.1292","1.1225","1.1318","1.1225","0.59%"
"Jun 19, 2019","1.1226","1.1193","1.1254","1.1187","0.29%"
"Jun 18, 2019","1.1193","1.1219","1.1244","1.1181","-0.22%"
"Jun 17, 2019","1.1218","1.1215","1.1247","1.1203","0.08%"
"Jun 14, 2019","1.1209","1.1282","1.1291","1.1202","-0.60%"
"Jun 13, 2019","1.1277","1.1287","1.1305","1.1268","-0.11%"
"Jun 12, 2019","1.1289","1.1326","1.1345","1.1282","-0.38%"
"Jun 11, 2019","1.1332","1.1313","1.1340","1.1302","0.15%"
"Jun 10, 2019","1.1315","1.1324","1.1333","1.1291","-0.16%"
"Jun 07, 2019","1.1333","1.1276","1.1349","1.1251","0.51%"
"Jun 06, 2019","1.1276","1.1229","1.1310","1.1214","0.49%"
"Jun 05, 2019","1.1221","1.1251","1.1308","1.1219","-0.28%"
"Jun 04, 2019","1.1252","1.1241","1.1278","1.1226","0.10%"
"Jun 03, 2019","1.1241","1.1168","1.1263","1.1155","0.64%"
"May 31, 2019","1.1169","1.1134","1.1181","1.1125","0.34%"
"May 30, 2019","1.1131","1.1130","1.1144","1.1115","0.00%"
"May 29, 2019","1.1131","1.1162","1.1175","1.1124","-0.26%"
"May 28, 2019","1.1160","1.1198","1.1202","1.1158","-0.35%"
"May 27, 2019","1.1199","1.1197","1.1218","1.1186","-0.04%"
"May 24, 2019","1.1204","1.1183","1.1215","1.1175","0.21%"
"May 23, 2019","1.1180","1.1150","1.1187","1.1106","0.24%"
"May 22, 2019","1.1153","1.1166","1.1180","1.1145","-0.06%"
"May 21, 2019","1.1160","1.1171","1.1189","1.1142","-0.10%"
"May 20, 2019","1.1171","1.1158","1.1177","1.1148","0.12%"
"May 17, 2019","1.1158","1.1176","1.1186","1.1155","-0.14%"
"May 16, 2019","1.1174","1.1202","1.1227","1.1166","-0.25%"
"May 15, 2019","1.1202","1.1205","1.1226","1.1177","-0.02%"
"May 14, 2019","1.1204","1.1224","1.1247","1.1200","-0.18%"
"May 13, 2019","1.1224","1.1241","1.1266","1.1221","-0.10%"
"May 10, 2019","1.1235","1.1215","1.1255","1.1214","0.12%"
"May 09, 2019","1.1222","1.1194","1.1254","1.1174","0.27%"
"May 08, 2019","1.1192","1.1189","1.1215","1.1181","0.01%"
"May 07, 2019","1.1191","1.1198","1.1222","1.1165","-0.08%"
"May 06, 2019","1.1200","1.1173","1.1212","1.1160","-0.02%"
"May 03, 2019","1.1202","1.1178","1.1208","1.1135","0.21%"
"May 02, 2019","1.1179","1.1202","1.1221","1.1172","-0.15%"
"May 01, 2019","1.1196","1.1215","1.1267","1.1188","-0.19%"
"Apr 30, 2019","1.1217","1.1185","1.1232","1.1176","0.28%"
"Apr 29, 2019","1.1186","1.1153","1.1191","1.1140","0.33%"
"Apr 26, 2019","1.1149","1.1130","1.1175","1.1111","0.15%"
"Apr 25, 2019","1.1132","1.1160","1.1164","1.1118","-0.20%"
"Apr 24, 2019","1.1154","1.1229","1.1233","1.1141","-0.65%"
"Apr 23, 2019","1.1227","1.1259","1.1264","1.1192","-0.28%"
"Apr 22, 2019","1.1258","1.1246","1.1265","1.1237","0.09%"
"Apr 19, 2019","1.1248","1.1240","1.1255","1.1229","0.15%"
"Apr 18, 2019","1.1231","1.1297","1.1307","1.1226","-0.58%"
"Apr 17, 2019","1.1297","1.1282","1.1326","1.1280","0.14%"
"Apr 16, 2019","1.1281","1.1304","1.1315","1.1279","-0.25%"
"Apr 15, 2019","1.1309","1.1300","1.1323","1.1296","0.06%"
"Apr 12, 2019","1.1302","1.1255","1.1327","1.1253","0.44%"
"Apr 11, 2019","1.1253","1.1274","1.1293","1.1249","-0.19%"
"Apr 10, 2019","1.1274","1.1261","1.1286","1.1228","0.10%"
"Apr 09, 2019","1.1263","1.1272","1.1287","1.1255","0.02%"
"Apr 08, 2019","1.1261","1.1218","1.1277","1.1213","0.40%"
"Apr 05, 2019","1.1216","1.1223","1.1246","1.1210","-0.04%"
"Apr 04, 2019","1.1221","1.1233","1.1249","1.1205","-0.12%"
"Apr 03, 2019","1.1235","1.1204","1.1256","1.1200","0.28%"
"Apr 02, 2019","1.1204","1.1217","1.1220","1.1183","-0.08%"
"Apr 01, 2019","1.1213","1.1217","1.1250","1.1202","-0.04%"
"Mar 29, 2019","1.1218","1.1220","1.1248","1.1208","-0.04%"
"Mar 28, 2019","1.1222","1.1244","1.1264","1.1214","-0.22%"
"Mar 27, 2019","1.1247","1.1266","1.1286","1.1240","-0.17%"
"Mar 26, 2019","1.1266","1.1313","1.1329","1.1263","-0.42%"
"Mar 25, 2019","1.1313","1.1294","1.1334","1.1284","-0.01%"
"Mar 22, 2019","1.1314","1.1376","1.1393","1.1272","-0.54%"
"Mar 21, 2019","1.1375","1.1413","1.1440","1.1342","-0.34%"
"Mar 20, 2019","1.1414","1.1352","1.1450","1.1336","0.55%"
"Mar 19, 2019","1.1352","1.1338","1.1364","1.1334","0.13%"
"Mar 18, 2019","1.1337","1.1322","1.1360","1.1316","0.11%"
"Mar 15, 2019","1.1325","1.1304","1.1345","1.1295","0.19%"
"Mar 14, 2019","1.1304","1.1330","1.1343","1.1294","-0.20%"
"Mar 13, 2019","1.1327","1.1288","1.1341","1.1277","0.35%"
"Mar 12, 2019","1.1288","1.1249","1.1309","1.1244","0.35%"
"Mar 11, 2019","1.1249","1.1240","1.1260","1.1222","0.08%"
"Mar 08, 2019","1.1240","1.1194","1.1248","1.1185","0.41%"
"Mar 07, 2019","1.1194","1.1306","1.1322","1.1176","-1.00%"
"Mar 06, 2019","1.1307","1.1313","1.1328","1.1286","-0.01%"
"Mar 05, 2019","1.1308","1.1339","1.1353","1.1290","-0.28%"
"Mar 04, 2019","1.1340","1.1380","1.1398","1.1309","-0.33%"
"Mar 01, 2019","1.1377","1.1372","1.1410","1.1353","0.05%"
"Feb 28, 2019","1.1371","1.1371","1.1421","1.1357","0.02%"
"Feb 27, 2019","1.1369","1.1396","1.1404","1.1360","-0.16%"
"Feb 26, 2019","1.1387","1.1366","1.1404","1.1343","0.25%"
"Feb 25, 2019","1.1359","1.1338","1.1369","1.1323","0.14%"
"Feb 22, 2019","1.1343","1.1337","1.1360","1.1315","0.06%"
"Feb 21, 2019","1.1336","1.1338","1.1368","1.1320","-0.01%"
